Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,mrb_dist,Name_2,descript_1,timestamp_,begin_2,end_2,altitude_1,tessella_1,extrude_2,visibili_1,drawOrder_,icon_2,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO,AMBITO
Zona de Amortiguamiento,,,,,,"1","0","-1",,,"500",,,,,,,,,,,,"090110011","09","011","0011",San Andrés Mixquic,Urbana
Zona de Amortiguamiento,,,,,,"1","0","-1",,,"500",,,,,,,,,,,,"090110024","09","011","0024",San Nicolás Tetelco,Urbana
Zona de Amortiguamiento,,,,,,"1","0","-1",,,"500",,,,,,,,,,,,"090090300","09","009","0300",San Nicolás Tetelco,Urbana
Área de Influencia Directa,,,,,,"1","0","-1",,,"1000",,,,,,,,,,,,"090110011","09","011","0011",San Andrés Mixquic,Urbana
Área de Influencia Directa,,,,,,"1","0","-1",,,"1000",,,,,,,,,,,,"090110024","09","011","0024",San Nicolás Tetelco,Urbana
Área de Influencia Directa,,,,,,"1","0","-1",,,"1000",,,,,,,,,,,,"090090300","09","009","0300",San Nicolás Tetelco,Urbana
Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,,"090110011","09","011","0011",San Andrés Mixquic,Urbana
Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,,"090110024","09","011","0024",San Nicolás Tetelco,Urbana
Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,,"090090303","09","009","0303",Arboledas,Rural
Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,,"090090011","09","009","0011",San Antonio Tecómitl,Urbana
Área de Influencia Indirecta,,,,,,"1","0","-1",,,"2000",,,,,,,,,,,,"090090300","09","009","0300",San Nicolás Tetelco,Urbana
Área Núcleo,,,,,,,,,,,,Ciudad Juárez,,,,,,"1","0","-1",,,"090110104","09","011","0104",San Ignacio de Loyola,Rural
Área Núcleo,,,,,,,,,,,,Ciudad Juárez,,,,,,"1","0","-1",,,"090110011","09","011","0011",San Andrés Mixquic,Urbana
